"EmmissionsCW",,"EmmissionsCWLnChng",,
940.6956,1484.793,940.6956,1484.793,
941.8201,1485.401,941.8201,1485.401,
942.9554,1486.002,942.9554,1486.002,
944.0907,1486.591,944.0907,1486.591,
945.2317,1487.172,945.2317,1487.172,
946.3827,1487.746,946.3827,1487.746,
947.535,1488.309,947.535,1488.309,
948.692,1488.863,948.692,1488.863,
949.8545,1489.408,949.8545,1489.408,
951.017,1489.942,951.017,1489.942,
952.1854,1490.468,952.1854,1490.468,
953.3635,1490.986,953.3635,1490.986,
954.5416,1491.494,954.5416,1491.494,
955.7213,1491.991,955.7213,1491.991,
956.9108,1492.482,956.9108,1492.482,
958.1005,1492.961,958.1005,1492.961,
959.2939,1493.43,959.2939,1493.43,
960.4954,1493.892,960.4954,1493.892,
961.6906,1494.341,961.6906,1494.341,
962.9014,1494.784,962.9014,1494.784,
964.1122,1495.217,964.1122,1495.217,
965.3229,1495.639,965.3229,1495.639,
966.5396,1496.053,966.5396,1496.053,
967.7561,1496.456,967.7561,1496.456,
968.9787,1496.849,968.9787,1496.849,
970.2044,1497.234,970.2044,1497.234,
971.4363,1497.609,971.4363,1497.609,
972.6648,1497.973,972.6648,1497.973,
973.8965,1498.327,973.8965,1498.327,
975.1405,1498.674,975.1405,1498.674,
976.381,1499.009,976.381,1499.009,
977.6249,1499.334,977.6249,1499.334,
978.8685,1499.649,978.8685,1499.649,
980.1187,1499.954,980.1187,1499.954,
981.3713,1500.25,981.3713,1500.25,
982.6213,1500.534,982.6213,1500.534,
983.8801,1500.81,983.8801,1500.81,
985.1387,1501.075,985.1387,1501.075,
986.3973,1501.33,986.3973,1501.33,
987.6623,1501.575,987.6623,1501.575,
988.9273,1501.809,988.9273,1501.809,
990.192,1502.033,990.192,1502.033,
991.4567,1502.247,991.4567,1502.247,
992.7296,1502.452,992.7296,1502.452,
994.0007,1502.646,994.0007,1502.646,
995.2667,1502.829,995.2667,1502.829,
996.5377,1503.003,996.5377,1503.003,
997.8167,1503.168,997.8167,1503.168,
999.0889,1503.322,999.0889,1503.322,
1000.3663,1503.467,1000.3663,1503.467,
1001.6385,1503.601,1001.6385,1503.601,
1002.918,1503.726,1002.918,1503.726,
1004.1965,1503.84,1004.1965,1503.84,
1005.475,1503.946,1005.475,1503.946,
1006.7541,1504.041,1006.7541,1504.041,
1008.033,1504.127,1008.033,1504.127,
1009.3187,1504.203,1009.3187,1504.203,
1010.5976,1504.269,1010.5976,1504.269,
1011.8831,1504.327,1011.8831,1504.327,
1013.1617,1504.373,1013.1617,1504.373,
1014.4472,1504.41,1014.4472,1504.41,
1015.7329,1504.437,1015.7329,1504.437,
1017.0185,1504.454,1017.0185,1504.454,
1018.2973,1504.461,1018.2973,1504.461,
1019.5829,1504.457,1019.5829,1504.457,
1020.8685,1504.444,1020.8685,1504.444,
1022.1541,1504.42,1022.1541,1504.42,
1023.4397,1504.386,1023.4397,1504.386,
1024.7252,1504.342,1024.7252,1504.342,
1026.0108,1504.288,1026.0108,1504.288,
1027.2966,1504.223,1027.2966,1504.223,
1028.5756,1504.149,1028.5756,1504.149,
1029.8608,1504.065,1029.8608,1504.065,
1031.1468,1503.969,1031.1468,1503.969,
1032.4252,1503.865,1032.4252,1503.865,
1033.7047,1503.75,1033.7047,1503.75,
1034.9832,1503.625,1034.9832,1503.625,
1036.2684,1503.488,1036.2684,1503.488,
1037.5403,1503.343,1037.5403,1503.343,
1038.819,1503.186,1038.819,1503.186,
1040.091,1503.02,1040.091,1503.02,
1041.3697,1502.842,1041.3697,1502.842,
1042.642,1502.655,1042.642,1502.655,
1043.9076,1502.459,1043.9076,1502.459,
1045.1784,1502.25,1045.1784,1502.25,
1046.4442,1502.033,1046.4442,1502.033,
1047.7102,1501.804,1047.7102,1501.804,
1048.9745,1501.566,1048.9745,1501.566,
1050.2321,1501.318,1050.2321,1501.318,
1051.4985,1501.057,1051.4985,1501.057,
1052.7562,1500.788,1052.7562,1500.788,
1054.0076,1500.51,1054.0076,1500.51,
1055.2591,1500.221,1055.2591,1500.221,
1056.5107,1499.921,1056.5107,1499.921,
1057.7624,1499.611,1057.7624,1499.611,
1059.0078,1499.291,1059.0078,1499.291,
1060.2507,1498.962,1060.2507,1498.962,
1061.4964,1498.622,1061.4964,1498.622,
1062.7331,1498.273,1062.7331,1498.273,
1063.9729,1497.912,1063.9729,1497.912,
1065.2034,1497.544,1065.2034,1497.544,
1066.4341,1497.165,1066.4341,1497.165,
1067.6648,1496.775,1067.6648,1496.775,
1068.8893,1496.376,1068.8893,1496.376,
1070.108,1495.968,1070.108,1495.968,
1071.3295,1495.549,1071.3295,1495.549,
1072.5422,1495.122,1072.5422,1495.122,
1073.7516,1494.685,1073.7516,1494.685,
1074.9608,1494.237,1074.9608,1494.237,
1076.1644,1493.78,1076.1644,1493.78,
1077.3678,1493.313,1077.3678,1493.313,
1078.5655,1492.837,1078.5655,1492.837,
1079.7571,1492.352,1079.7571,1492.352,
1080.9448,1491.857,1080.9448,1491.857,
1082.1308,1491.352,1082.1308,1491.352,
1083.3127,1490.838,1083.3127,1490.838,
1084.4888,1490.314,1084.4888,1490.314,
1085.6648,1489.78,1085.6648,1489.78,
1086.8309,1489.239,1086.8309,1489.239,
1087.996,1488.688,1087.996,1488.688,
1089.1567,1488.127,1089.1567,1488.127,
1090.316,1487.556,1090.316,1487.556,
1091.4654,1486.979,1091.4654,1486.979,
1092.6149,1486.391,1092.6149,1486.391,
1093.7544,1485.796,1093.7544,1485.796,
1094.8931,1485.19,1094.8931,1485.19,
1096.027,1484.576,1096.027,1484.576,
1097.1553,1483.953,1097.1553,1483.953,
1098.2837,1483.319,1098.2837,1483.319,
1099.3967,1482.682,1099.3967,1482.682,
1100.5143,1482.03,1100.5143,1482.03,
1101.6269,1481.37,1101.6269,1481.37,
1102.7289,1480.704,1102.7289,1480.704,
1103.8308,1480.027,1103.8308,1480.027,
1104.9223,1479.344,1104.9223,1479.344,
1106.0133,1478.649,1106.0133,1478.649,
1107.0939,1477.948,1107.0939,1477.948,
1108.174,1477.235,1108.174,1477.235,
1109.2387,1476.52,1109.2387,1476.52,
1110.3081,1475.79,1110.3081,1475.79,
1111.3669,1475.054,1111.3669,1475.054,
1112.4205,1474.309,1112.4205,1474.309,
1113.4637,1473.559,1113.4637,1473.559,
1114.507,1472.796,1114.507,1472.796,
1115.5395,1472.028,1115.5395,1472.028,
1116.5712,1471.248,1116.5712,1471.248,
1117.5934,1470.463,1117.5934,1470.463,
1118.6091,1469.669,1118.6091,1469.669,
1119.6155,1468.869,1119.6155,1468.869,
1120.6207,1468.057,1120.6207,1468.057,
1121.6112,1467.243,1121.6112,1467.243,
1122.6058,1466.412,1122.6058,1466.412,
1123.5859,1465.58,1123.5859,1465.58,
1124.5592,1464.74,1124.5592,1464.74,
1125.5325,1463.886,1125.5325,1463.886,
1126.4915,1463.031,1126.4915,1463.031,
1127.4488,1462.163,1127.4488,1462.163,
1128.3915,1461.294,1128.3915,1461.294,
1129.3322,1460.412,1129.3322,1460.412,
1130.2638,1459.523,1130.2638,1459.523,
1131.1901,1458.625,1131.1901,1458.625,
1132.1052,1457.723,1132.1052,1457.723,
1133.0148,1456.81,1133.0148,1456.81,
1133.9133,1455.894,1133.9133,1455.894,
1134.812,1454.962,1134.812,1454.962,
1135.6965,1454.03,1135.6965,1454.03,
1136.5734,1453.09,1136.5734,1453.09,
1137.4473,1452.138,1137.4473,1452.138,
1138.3103,1451.182,1138.3103,1451.182,
1139.1626,1450.223,1139.1626,1450.223,
1140.0068,1449.258,1140.0068,1449.258,
1140.8489,1448.279,1140.8489,1448.279,
1141.6803,1447.298,1141.6803,1447.298,
1142.504,1446.31,1142.504,1446.31,
1143.325,1445.309,1143.325,1445.309,
1144.1274,1444.315,1144.1274,1444.315,
1144.9302,1443.304,1144.9302,1443.304,
1145.7225,1442.291,1145.7225,1442.291,
1146.5097,1441.268,1146.5097,1441.268,
1147.2867,1440.242,1147.2867,1440.242,
1148.0559,1439.21,1148.0559,1439.21,
1148.815,1438.175,1148.815,1438.175,
1149.5688,1437.13,1149.5688,1437.13,
1150.3122,1436.083,1150.3122,1436.083,
1151.0503,1435.026,1151.0503,1435.026,
1151.7812,1433.962,1151.7812,1433.962,
1152.5036,1432.892,1152.5036,1432.892,
1153.2137,1431.823,1153.2137,1431.823,
1153.9188,1430.744,1153.9188,1430.744,
1154.6135,1429.663,1154.6135,1429.663,
1155.3029,1428.572,1155.3029,1428.572,
1155.9851,1427.473,1155.9851,1427.473,
1156.6525,1426.381,1156.6525,1426.381,
1157.3193,1425.27,1157.3193,1425.27,
1157.9758,1424.158,1157.9758,1424.158,
1158.6206,1423.046,1158.6206,1423.046,
1159.2618,1421.922,1159.2618,1421.922,
1159.8912,1420.798,1159.8912,1420.798,
1160.5106,1419.673,1160.5106,1419.673,
1161.1233,1418.54,1161.1233,1418.54,
1161.7322,1417.394,1161.7322,1417.394,
1162.3249,1416.257,1162.3249,1416.257,
1162.9172,1415.102,1162.9172,1415.102,
